country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,0.803,0.839,0.872,0.896,0.886,0.882,0.881,0.878,0.872,0.863,0.852,0.835,0.83,0.809,0.814,0.804,0.789,0.768,0.782,0.756,0.735,0.728,0.727,0.726,0.724,0.726,0.737,0.736,0.735,0.734,0.732,0.729
Albania,0.738,0.786,0.801,0.795,0.792,0.766,0.736,0.758,0.752,0.736,0.73,0.718,0.708,0.693,0.674,0.66,0.618,0.61,0.572,0.541,0.543,0.586,0.539,0.505,0.478,0.473,0.469,0.457,0.446,0.436,0.424,0.415
Algeria,0.123,0.124,0.125,0.122,0.121,0.129,0.123,0.127,0.128,0.119,0.123,0.109,0.111,0.225,0.142,0.134,0.12,0.107,0.103,0.0871,0.077,0.0676,0.0489,0.0973,0.0975,0.0964,0.0935,0.0891,0.0877,0.0867,0.0858,0.0851
Angola,0.484,0.467,0.529,0.518,0.515,0.497,0.487,0.465,0.478,0.469,0.452,0.466,0.457,0.444,0.454,0.463,0.461,0.472,0.512,0.544,0.58,0.577,0.564,0.561,0.56,0.562,0.576,0.574,0.57,0.565,0.558,0.552
Argentina,0.00138,0.00318,0.00302,0.00241,0.00359,0.00216,0.00251,0.00221,0.00225,0.00231,0.00281,0.00456,0.00969,0.00966,0.00718,0.00487,0.00387,0.00347,0.00392,0.00376,0.00284,0.00282,0.00224,0.00154,0.00149,0.00172,0.00148,0.00144,0.0014,0.00136,0.00133,0.0013
Armenia,0.404,0.378,0.509,0.537,0.546,0.525,0.5,0.538,0.515,0.516,0.524,0.522,0.5,0.484,0.471,0.456,0.439,0.453,0.457,0.473,0.456,0.441,0.447,0.406,0.401,0.383,0.39,0.377,0.371,0.364,0.358,0.352
Australia,0.0391,0.0375,0.0374,0.0362,0.036,0.035,0.0358,0.0346,0.0348,0.0343,0.0345,0.0303,0.0262,0.0268,0.0245,0.0237,0.0229,0.0222,0.0222,0.0228,0.0189,0.0192,0.0167,0.0183,0.0185,0.0169,0.0164,0.0159,0.0155,0.0151,0.0146,0.0141
Austria,0.0854,0.081,0.0789,0.0799,0.0819,0.0859,0.0773,0.0723,0.0696,0.0638,0.0628,0.0608,0.0578,0.0486,0.0529,0.0529,0.0562,0.0523,0.052,0.0499,0.0466,0.0424,0.0418,0.0457,0.0421,0.0393,0.0389,0.0379,0.0371,0.0362,0.0354,0.0347
Azerbaijan,0.395,0.361,0.403,0.454,0.452,0.483,0.473,0.448,0.456,0.43,0.42,0.419,0.418,0.426,0.446,0.433,0.42,0.407,0.44,0.444,0.439,0.439,0.435,0.427,0.421,0.421,0.434,0.436,0.436,0.431,0.427,0.421
Bahamas,0.0144,0.0143,0.0139,0.0161,0.0105,0.0122,0.0195,0.0123,0.00933,0.011,0.0139,0.0166,0.00583,0.00435,0.00341,0.00477,0.00242,0.00734,0.00524,0.0101,0.0173,0.0175,0.017,0.018,0.0187,0.0186,0.0189,0.0187,0.0186,0.0186,0.0185,0.0185
